model,phase,trial,accepted,action,target_rule_id,stratum,f1_before,f1_after,delta_f1,delta_tp,delta_fp,delta_fn,target_before,target_after,eligible_before,eligible_after,improved_reports,worsened_reports,unchanged_reports,tie_break
Terra,relation,2,False,REVISE,R04,SPURIOUS_EDGE|Modify,0.5342960288808665,0.47079646017699117,-0.0634995687038753,-15,26,15,46,38,162,180,5,5,2,False
Terra,relation,3,False,ADD,,MISSING_EDGE|LocatedAt,0.5342960288808665,0.531951640759931,-0.0023443881209355144,6,19,-6,27,16,162,170,4,6,2,False
Terra,relation,4,True,REVISE,R03,SPURIOUS_EDGE|LocatedAt,0.5342960288808665,0.5833333333333334,0.0490373044524669,13,-15,-13,26,22,162,144,8,0,4,False
Terra,relation,5,False,REVISE,R04,SPURIOUS_EDGE|Modify,0.5833333333333334,0.54673721340388,-0.03659611992945333,-6,21,6,45,57,144,160,2,9,1,False
Terra,relation,6,False,REVISE,R03,MISSING_EDGE|LocatedAt,0.5833333333333334,0.5748709122203098,-0.008462421113023533,6,23,-6,25,8,144,146,5,5,2,False
Terra,relation,7,False,REVISE,R03,SPURIOUS_EDGE|LocatedAt,0.5833333333333334,0.55,-0.033333333333333326,-7,15,7,22,23,144,161,1,5,6,False
Terra,relation,8,False,ADD,,MISSING_EDGE|Modify,0.5833333333333334,0.5811051693404634,-0.002228163992869958,2,7,-2,13,6,144,145,3,6,3,False
Terra,relation,9,False,REVISE,R05,SPURIOUS_EDGE|SuggestiveOf,0.5833333333333334,0.5474452554744526,-0.03588807785888082,-11,7,11,9,5,144,161,5,4,3,False
Terra,relation,10,True,REVISE,R04,REVERSED_DIRECTION|Modify,0.5833333333333334,0.5947826086956521,0.011449275362318767,10,13,-10,7,2,144,150,5,5,2,False
Terra,relation,11,False,REVISE,R04,SPURIOUS_EDGE|Modify,0.5947826086956521,0.26480836236933797,-0.32997424632631417,-95,94,95,63,73,150,254,0,11,1,False
Terra,relation,12,False,REVISE,R03,MISSING_EDGE|LocatedAt,0.5947826086956521,0.5910543130990416,-0.003728295596610587,14,37,-14,22,11,150,172,6,6,0,False
Terra,relation,13,False,REVISE,R03,SPURIOUS_EDGE|LocatedAt,0.5947826086956521,0.4879725085910653,-0.10681010010458686,-29,36,29,19,14,150,208,1,8,3,False
Terra,relation,14,False,REVISE,R04,WRONG_PREDICATE|LocatedAt->Modify,0.5947826086956521,0.5783132530120482,-0.01646935568360397,-3,9,3,11,1,150,149,5,6,1,False
Terra,relation,15,False,REVISE,R05,SPURIOUS_EDGE|SuggestiveOf,0.5947826086956521,0.5448154657293497,-0.04996714296630245,-16,10,16,10,5,150,173,4,6,2,False
Terra,relation,16,False,REVISE,R04,MISSING_EDGE|Modify,0.5947826086956521,0.46632124352331605,-0.12846136517233608,-36,40,36,9,2,150,197,0,10,2,False
Terra,relation,17,False,ADD,,WRONG_OBJECT_ATTACHMENT|Modify,0.5947826086956521,0.5803108808290155,-0.014471727866636641,-3,7,3,6,6,150,162,5,5,2,False
Terra,relation,18,False,REVISE,R03,WRONG_OBJECT_ATTACHMENT|LocatedAt,0.5947826086956521,0.4559068219633943,-0.1388757867322578,-34,60,34,4,15,150,232,0,11,1,False
Terra,relation,19,False,REVISE,R04,REVERSED_DIRECTION|Modify,0.5947826086956521,0.542608695652174,-0.05217391304347818,-15,15,15,2,13,150,162,1,9,2,False
Terra,relation,20,False,REVISE,R05,WRONG_OBJECT_ATTACHMENT|SuggestiveOf,0.5947826086956521,0.5818815331010453,-0.012901075594606848,-4,3,4,1,0,150,155,3,6,3,False
Terra,relation,21,False,REVISE,R04,WRONG_PREDICATE|Modify->LocatedAt,0.5947826086956521,0.5739130434782609,-0.02086956521739125,-6,6,6,1,0,150,160,1,8,3,False
Terra,relation,22,False,REVISE,R03,WRONG_SUBJECT_ATTACHMENT|LocatedAt,0.5947826086956521,0.5043478260869565,-0.09043478260869564,-26,26,26,1,3,150,201,2,9,1,False
Terra,relation,23,False,REVISE,R04,WRONG_SUBJECT_ATTACHMENT|Modify,0.5947826086956521,0.5495652173913044,-0.045217391304347765,-13,13,13,1,0,150,166,2,6,4,False
Sol,entity,1,False,REVISE,E15,ENT_FP|ANAT,0.9176755447941889,0.914004914004914,-0.0036706307892748757,-7,-5,7,11,4,46,48,2,4,6,False
Sol,entity,2,True,REVISE,E16,ENT_FP|OBS-DP,0.9176755447941889,0.9266503667481663,0.008974821953977363,0,-8,0,8,6,46,43,5,2,5,False
Sol,entity,3,False,REVISE,E15,ENT_FP|ANAT,0.9266503667481663,0.9169764560099133,-0.009673910738252967,-9,-2,9,11,4,43,45,3,4,5,False
Sol,entity,4,True,ADD,,ENT_FP|OBS-DP,0.9266503667481663,0.9277845777233782,0.0011342109752119356,0,-1,0,6,3,43,40,1,1,10,False
Sol,entity,5,False,REVISE,E15,ENT_FP|ANAT,0.9277845777233782,0.9226932668329177,-0.005091310890460443,-9,-6,9,11,4,40,43,4,4,4,False
Sol,entity,6,False,REVISE,E05,ENT_LABEL|OBS-DP->ANAT,0.9277845777233782,0.8886168910648715,-0.03916768665850667,-16,16,16,7,2,40,59,1,8,3,False
Sol,entity,7,False,REVISE,E16,ENT_FN|OBS-DP,0.9277845777233782,0.926060606060606,-0.0017239716627721613,3,5,-3,3,0,40,42,2,3,7,False
Sol,entity,8,False,REVISE,E13,ENT_FP|OBS-DP,0.9277845777233782,0.9219330855018587,-0.005851492221519483,-7,-3,7,3,0,40,43,3,2,7,False
Sol,entity,9,False,REVISE,E08,ENT_LABEL|OBS-DP->OBS-DA,0.9277845777233782,0.902200488997555,-0.025584088725823184,-10,11,10,3,0,40,51,1,7,4,False
Sol,entity,10,False,REVISE,E03,ENT_BOUNDARY|ANAT,0.9277845777233782,0.7630208333333334,-0.16476374439004482,-86,37,86,2,37,40,125,0,12,0,False
Sol,entity,11,False,REVISE,E03,ENT_BOUNDARY|OBS-U,0.9277845777233782,0.788586251621271,-0.13919832610210714,-75,29,75,2,7,40,113,0,10,2,False
Sol,entity,12,False,REVISE,E09,ENT_FP|OBS-U,0.9277845777233782,0.9236453201970444,-0.004139257526333817,-4,-1,4,2,0,40,42,2,4,6,False
Sol,entity,13,False,REVISE,E04,ENT_LABEL|ANAT->OBS-DP,0.9277845777233782,0.9057527539779682,-0.022031823745410017,-9,9,9,2,1,40,50,0,4,8,False
Sol,entity,14,False,REVISE,E03,ENT_BOUNDARY|OBS-DA,0.9277845777233782,0.8929889298892989,-0.03479564783407929,-16,12,16,1,11,40,57,0,9,3,False
Sol,entity,15,False,REVISE,E03,ENT_BOUNDARY|OBS-DP,0.9277845777233782,0.9179926560587516,-0.009791921664626613,-4,4,4,1,3,40,44,1,4,7,False
Sol,entity,16,False,REVISE,E07,ENT_FN|OBS-DA,0.9277845777233782,0.9157509157509157,-0.012033661972462473,-4,6,4,1,0,40,45,2,3,7,False
Sol,entity,17,False,REVISE,E13,ENT_FP|OBS-DA,0.9277845777233782,0.9257425742574258,-0.0020420034659524022,-5,-4,5,1,0,40,44,1,5,6,False
Sol,entity,18,True,REVISE,E11,ENT_LABEL|OBS-DP->OBS-U,0.9277845777233782,0.9313725490196079,0.003587971296229675,1,-2,-1,1,2,40,39,2,1,9,False
Sol,entity,19,False,REVISE,E15,ENT_FP|ANAT,0.9313725490196079,0.912718204488778,-0.018654344530829814,-14,0,14,11,4,39,47,3,4,5,False
Sol,entity,20,False,REVISE,E05,ENT_LABEL|OBS-DP->ANAT,0.9313725490196079,0.8910648714810282,-0.04030767753857967,-16,17,16,6,0,39,55,1,10,1,False
Sol,entity,21,False,REVISE,E16,ENT_FN|OBS-DP,0.9313725490196079,0.9174757281553398,-0.013896820864268022,-2,10,2,3,0,39,46,1,4,7,False
Sol,entity,22,False,REVISE,E16,ENT_FP|OBS-DP,0.9313725490196079,0.9039408866995073,-0.027431662320100525,-13,9,13,3,1,39,51,1,3,8,False
Sol,entity,23,False,REVISE,E08,ENT_LABEL|OBS-DP->OBS-DA,0.9313725490196079,0.9144254278728606,-0.016947121146747235,-6,8,6,3,0,39,46,1,5,6,False
Sol,entity,24,False,REVISE,E03,ENT_BOUNDARY|ANAT,0.9313725490196079,0.7901554404145078,-0.14121710860510006,-75,31,75,2,31,39,114,0,12,0,False
Sol,entity,25,False,REVISE,E03,ENT_BOUNDARY|OBS-U,0.9313725490196079,0.8949320148331273,-0.03644053418648052,-18,11,18,2,8,39,57,0,7,5,False
Sol,entity,26,False,REVISE,E13,ENT_FP|OBS-U,0.9313725490196079,0.9023485784919654,-0.029023970527642495,-15,8,15,2,0,39,53,2,4,6,False
Sol,entity,27,False,REVISE,E09,ENT_LABEL|OBS-DP->OBS-U,0.9313725490196079,0.8858895705521472,-0.04548297846746063,-19,18,19,2,2,39,61,1,6,5,False
Sol,entity,28,False,REVISE,E03,ENT_BOUNDARY|OBS-DA,0.9313725490196079,0.788036410923277,-0.14333613809633083,-77,30,77,1,2,39,114,0,9,3,False
Sol,entity,29,False,REVISE,E12,ENT_BOUNDARY|OBS-DP,0.9313725490196079,0.897908979089791,-0.033463569929816916,-15,12,15,1,10,39,55,1,9,2,False
Sol,entity,30,False,REVISE,E07,ENT_FN|OBS-DA,0.9313725490196079,0.9304029304029304,-0.0009696186166774368,1,2,-1,1,0,39,39,2,1,9,False
Sol,entity,31,False,ADD,,ENT_FN|OBS-U,0.9313725490196079,0.928921568627451,-0.002450980392156854,-1,1,1,1,0,39,39,1,1,10,False
Sol,entity,32,False,REVISE,E13,ENT_FP|OBS-DA,0.9313725490196079,0.9160493827160494,-0.015323166303558455,-9,3,9,1,0,39,48,1,6,5,False
Sol,relation,1,True,REVISE,R05,SPURIOUS_EDGE|Modify,0.6900175131348512,0.7001795332136446,0.01016202007879341,-2,-12,2,25,18,104,99,7,2,3,False
Sol,relation,2,True,REVISE,R06,SPURIOUS_EDGE|LocatedAt,0.7001795332136446,0.7093235831809872,0.009144049967342638,-1,-9,1,18,14,99,93,6,3,3,False
Sol,relation,3,False,REVISE,R05,SPURIOUS_EDGE|Modify,0.7093235831809872,0.7018181818181818,-0.0075054013628054195,-1,4,1,17,17,93,98,2,5,5,False
Sol,relation,4,False,REVISE,R03,SPURIOUS_EDGE|LocatedAt,0.7093235831809872,0.6974169741697417,-0.011906609011245517,-5,0,5,14,8,93,94,3,5,4,False
Sol,relation,5,False,REVISE,R06,WRONG_OBJECT_ATTACHMENT|LocatedAt,0.7093235831809872,0.6996336996336996,-0.009689883547287614,-3,2,3,13,8,93,102,3,5,4,False
Sol,relation,6,True,REVISE,R05,MISSING_EDGE|Modify,0.7093235831809872,0.7377622377622378,0.02843865458125061,17,8,-17,12,1,93,87,6,2,4,False
Sol,relation,7,False,REVISE,R10,SPURIOUS_EDGE|Modify,0.7377622377622378,0.7372134038800705,-0.00054883388216731,-2,-3,2,29,21,87,84,3,4,5,False
Sol,relation,8,True,REVISE,R04,WRONG_OBJECT_ATTACHMENT|LocatedAt,0.7377622377622378,0.7547826086956522,0.017020370933414353,6,-3,-6,15,6,87,84,7,3,2,False
Sol,relation,9,True,ADD,,SPURIOUS_EDGE|Modify,0.7547826086956522,0.7692307692307693,0.014448160535117105,-2,-14,2,25,18,84,75,7,3,2,False
Sol,relation,10,False,ADD,,SPURIOUS_EDGE|Modify,0.7692307692307693,0.75,-0.019230769230769273,-2,11,2,18,23,75,82,3,4,5,False
Sol,relation,11,False,ADD,,SPURIOUS_EDGE|LocatedAt,0.7692307692307693,0.7622377622377622,-0.006993006993007089,3,10,-3,15,10,75,81,2,6,4,False
Sol,relation,12,False,REVISE,R03,MISSING_EDGE|LocatedAt,0.7692307692307693,0.7336860670194003,-0.03554470221136896,-7,15,7,8,5,75,88,1,8,3,False
Sol,relation,13,False,REVISE,R06,WRONG_OBJECT_ATTACHMENT|LocatedAt,0.7692307692307693,0.7473309608540926,-0.02189980837667671,-5,8,5,6,2,75,84,4,4,4,False
Sol,relation,14,True,REVISE,R07,WRONG_OBJECT_ATTACHMENT|Modify,0.7692307692307693,0.800705467372134,0.03147469814136472,12,-4,-12,6,4,75,67,7,1,4,False
Sol,relation,15,False,REVISE,R06,SPURIOUS_EDGE|Modify,0.800705467372134,0.7821428571428571,-0.018562610229276855,-8,1,8,23,17,67,71,2,5,5,False
Sol,relation,16,False,REVISE,R03,SPURIOUS_EDGE|LocatedAt,0.800705467372134,0.7971781305114638,-0.003527336860670194,-1,1,1,13,11,67,67,3,4,5,False
Sol,relation,17,False,ADD,,MISSING_EDGE|LocatedAt,0.800705467372134,0.7879858657243817,-0.012719601647752321,-4,3,4,7,6,67,68,2,3,7,False
Sol,relation,18,False,REVISE,R06,WRONG_OBJECT_ATTACHMENT|LocatedAt,0.800705467372134,0.7548500881834215,-0.04585537918871252,-13,13,13,5,3,67,80,4,6,2,False
Sol,relation,19,False,REVISE,R08,SPURIOUS_EDGE|SuggestiveOf,0.800705467372134,0.7914438502673797,-0.00926161710475426,-5,-1,5,5,0,67,68,4,4,4,False
Sol,relation,20,False,REVISE,R07,WRONG_OBJECT_ATTACHMENT|Modify,0.800705467372134,0.776595744680851,-0.024109722691282975,-8,5,8,4,4,67,73,2,5,5,False
Sol,relation,21,True,REVISE,R08,MISSING_EDGE|SuggestiveOf,0.800705467372134,0.8041958041958042,0.0034903368236701704,3,2,-3,3,0,67,66,5,4,3,False
Sol,relation,22,False,REVISE,R07,SPURIOUS_EDGE|Modify,0.8041958041958042,0.7821428571428571,-0.022052947052947025,-11,-1,11,20,16,66,73,3,4,5,False
Sol,relation,23,False,REVISE,R03,SPURIOUS_EDGE|LocatedAt,0.8041958041958042,0.7678571428571429,-0.03633866133866126,-15,3,15,17,8,66,73,1,6,5,False
Sol,relation,24,False,ADD,,MISSING_EDGE|LocatedAt,0.8041958041958042,0.8013937282229965,-0.0028020759728076827,0,2,0,8,6,66,67,2,2,8,False
Sol,relation,25,True,ADD,,SPURIOUS_EDGE|SuggestiveOf,0.8041958041958042,0.8077601410934744,0.0035643368976702172,-1,-4,1,6,4,66,63,4,2,6,False
Sol,relation,26,False,ADD,,SPURIOUS_EDGE|Modify,0.8077601410934744,0.7992957746478874,-0.008464366445587013,-2,3,2,20,22,63,67,3,3,6,False
Sol,relation,27,False,ADD,,SPURIOUS_EDGE|LocatedAt,0.8077601410934744,0.7914438502673797,-0.016316290826094648,-7,1,7,15,11,63,67,3,5,4,False
Sol,relation,28,False,REVISE,R06,MISSING_EDGE|LocatedAt,0.8077601410934744,0.7902097902097902,-0.017550350883684174,-3,8,3,7,5,63,67,5,4,3,False
Sol,relation,29,False,REVISE,R06,WRONG_OBJECT_ATTACHMENT|LocatedAt,0.8077601410934744,0.7605633802816901,-0.047196760811784255,-13,14,13,5,4,63,77,4,6,2,False
Sol,relation,30,False,REVISE,R08,SPURIOUS_EDGE|SuggestiveOf,0.8077601410934744,0.8,-0.0077601410934743376,-3,1,3,4,0,63,65,2,4,6,False
Sol,relation,31,False,REVISE,R07,WRONG_OBJECT_ATTACHMENT|Modify,0.8077601410934744,0.7908611599297012,-0.016898981163773197,-4,6,4,3,5,63,70,1,4,7,False
Sol,relation,32,False,REVISE,R07,MISSING_EDGE|Modify,0.8077601410934744,0.7768014059753954,-0.030958735118079006,-8,10,8,2,1,63,71,4,4,4,False
Sol,relation,33,False,ADD,,WRONG_PREDICATE|LocatedAt->Modify,0.8077601410934744,0.7915936952714536,-0.01616644582202076,-3,7,3,2,0,63,70,2,4,6,False
Sol,relation,34,False,REVISE,R08,MISSING_EDGE|SuggestiveOf,0.8077601410934744,0.7935943060498221,-0.01416583504365232,-6,1,6,1,1,63,66,3,3,6,False
Sol,relation,35,True,REVISE,R03,REVERSED_DIRECTION|LocatedAt,0.8077601410934744,0.8111888111888111,0.003428670095336761,3,2,-3,1,0,63,62,6,1,5,False
Sol,relation,36,False,ADD,,SPURIOUS_EDGE|Modify,0.8111888111888111,0.7985989492119089,-0.012589861976902261,-4,3,4,21,22,62,65,3,5,4,False
Sol,relation,37,False,ADD,,SPURIOUS_EDGE|LocatedAt,0.8111888111888111,0.8035087719298246,-0.007680039258986526,-3,1,3,15,12,62,64,2,4,6,False
Sol,relation,38,False,ADD,,MISSING_EDGE|LocatedAt,0.8111888111888111,0.7979094076655052,-0.013279403523305922,-3,5,3,6,4,62,67,2,5,5,False
Sol,relation,39,False,REVISE,R06,WRONG_OBJECT_ATTACHMENT|LocatedAt,0.8111888111888111,0.7740805604203153,-0.03710825076849589,-11,10,11,5,5,62,73,2,7,3,False
Sol,relation,40,False,REVISE,R08,SPURIOUS_EDGE|SuggestiveOf,0.8111888111888111,0.7907801418439716,-0.020408669344839536,-9,1,9,5,1,62,67,1,6,5,False
Sol,relation,41,True,ADD,,WRONG_OBJECT_ATTACHMENT|Modify,0.8111888111888111,0.8148148148148148,0.0036260036260036266,-1,-4,1,3,2,62,60,4,3,5,False
Sol,relation,42,False,ADD,,SPURIOUS_EDGE|Modify,0.8148148148148148,0.8113879003558719,-0.0034269144589428313,-3,-2,3,20,17,60,60,4,4,4,False
Sol,relation,43,False,ADD,,SPURIOUS_EDGE|LocatedAt,0.8148148148148148,0.8126094570928196,-0.0022053577219951492,1,3,-1,14,15,60,62,4,4,4,False
Sol,relation,44,False,ADD,,MISSING_EDGE|LocatedAt,0.8148148148148148,0.8126094570928196,-0.0022053577219951492,1,3,-1,7,5,60,62,3,4,5,False
Sol,relation,45,False,REVISE,R06,WRONG_OBJECT_ATTACHMENT|LocatedAt,0.8148148148148148,0.778169014084507,-0.036645800730307765,-10,11,10,5,3,60,73,1,7,4,False
Sol,relation,46,False,REVISE,R08,SPURIOUS_EDGE|SuggestiveOf,0.8148148148148148,0.8141592920353983,-0.0006555227794164953,-1,-1,1,4,1,60,59,2,5,5,False
Sol,relation,47,True,ADD,,MISSING_EDGE|Modify,0.8148148148148148,0.8161120840630472,0.00129726924823248,2,2,-2,2,0,60,61,3,2,7,False
Sol,relation,48,True,REVISE,R06,SPURIOUS_EDGE|Modify,0.8161120840630472,0.8247787610619469,0.00866667699889967,0,-6,0,23,20,61,56,4,0,8,False
Sol,relation,49,False,REVISE,RA041,SPURIOUS_EDGE|Modify,0.8247787610619469,0.8218694885361552,-0.0029092725257917618,0,2,0,20,18,56,57,2,3,7,False
Sol,relation,50,False,ADD,,SPURIOUS_EDGE|LocatedAt,0.8247787610619469,0.8127208480565371,-0.012057913005409815,-3,4,3,12,14,56,62,2,4,6,False
Sol,relation,51,False,REVISE,R06,MISSING_EDGE|LocatedAt,0.8247787610619469,0.823943661971831,-0.0008350990901159205,1,2,-1,8,6,56,56,3,3,6,False
Sol,relation,52,False,REVISE,R04,WRONG_OBJECT_ATTACHMENT|LocatedAt,0.8247787610619469,0.8112874779541446,-0.013491283107802343,-3,5,3,4,5,56,61,1,5,6,False
Sol,relation,53,False,REVISE,R08,SPURIOUS_EDGE|SuggestiveOf,0.8247787610619469,0.8235294117647058,-0.0012493492972410758,-2,-2,2,4,1,56,56,1,2,9,False
Sol,relation,54,False,ADD,,WRONG_PREDICATE|LocatedAt->Modify,0.8247787610619469,0.8162544169611308,-0.00852434410081615,-2,3,2,2,0,56,61,2,4,6,False
Sol,relation,55,False,ADD,,MISSING_EDGE|SuggestiveOf,0.8247787610619469,0.8210526315789474,-0.0037261294829995517,1,4,-1,1,0,56,58,2,2,8,False
Sol,relation,56,False,ADD,,REVERSED_DIRECTION|Modify,0.8247787610619469,0.8140350877192982,-0.010743673342648696,-1,6,1,1,1,56,61,3,4,5,False
Sol,relation,57,False,ADD,,WRONG_OBJECT_ATTACHMENT|Modify,0.8247787610619469,0.823321554770318,-0.001457206291628932,0,1,0,1,1,56,55,2,3,7,False
Sol,relation,58,False,ADD,,WRONG_PREDICATE|Modify->LocatedAt,0.8247787610619469,0.8169014084507042,-0.007877352611242672,-1,4,1,1,0,56,60,2,4,6,False
Sol,relation,59,False,ADD,,WRONG_SUBJECT_ATTACHMENT|LocatedAt,0.8247787610619469,0.823321554770318,-0.001457206291628932,0,1,0,1,1,56,56,1,1,10,False
Sol,relation,60,False,REVISE,R06,WRONG_SUBJECT_ATTACHMENT|Modify,0.8247787610619469,0.7908611599297012,-0.033917601132245734,-8,12,8,1,0,56,70,2,5,5,False
